ID,Dropoff City,Stamping Data,Visa TypeLatest Status,Last modified date
5469862147129344,Mumbai,07-Feb-2023,H1B,Application Received,27-Feb-2023
6552034639609856,Mumbai,07-Feb-2023,H1B,Application Received,27-Feb-2023
6312044970115072,Mumbai,07-Feb-2023,H1B,Application Received,27-Feb-2023
6235838341971968,Pune,06-Feb-2023,H1B,Refused,26-Feb-2023
6221172186284032,Ahmedabad,06-Feb-2023,H1B,Application Received,27-Feb-2023
5239942330449920,Ahmedabad,06-Feb-2023,H1B,Application Received,27-Feb-2023
6198595673915392,Mumbai,06-Feb-2023,H1B,Application Received,27-Feb-2023
6220645096488960,New Delhi,06-Feb-2023,H1B,Approved,27-Feb-2023
6259148874317824,Mumbai,06-Feb-2023,H1B,Application Received,27-Feb-2023
4845779491487744,Hyderabad,06-Feb-2023,H1B,Application Received,27-Feb-2023
6220355790176256,Mumbai,03-Feb-2023,H1B,Application Received,27-Feb-2023
6227500803817472,Mumbai,03-Feb-2023,H1B,Application Received,27-Feb-2023
4901844451065856,New Delhi,03-Feb-2023,H1B,Approved,27-Feb-2023
5916634040500224,New Delhi,03-Feb-2023,H1B,Issued,27-Feb-2023
6280504726781952,Mumbai,03-Feb-2023,H1B,Application Received,27-Feb-2023
6208821454176256,Chennai,03-Feb-2023,H1B,Issued,27-Feb-2023
6028590130921472,New Delhi,03-Feb-2023,H1B,Issued,27-Feb-2023
4921588633829376,Mumbai,03-Feb-2023,H1B,Application Received,27-Feb-2023
6248950558359552,Bengaluru,03-Feb-2023,H1B,Application Received,27-Feb-2023
6296621188907008,Hyderabad,02-Feb-2023,H1B,Application Received,27-Feb-2023
6268892947152896,New Delhi,02-Feb-2023,H1B,Application Received,27-Feb-2023
6317090130624512,New Delhi,02-Feb-2023,H1B,Issued,27-Feb-2023
6197561593430016,Mumbai,02-Feb-2023,H1B,Approved,27-Feb-2023
6240113176608768,New Delhi,02-Feb-2023,H1B,Issued,27-Feb-2023
6011413097086976,Mumbai,02-Feb-2023,H1B,Application Received,27-Feb-2023
4903214763737088,Mumbai,02-Feb-2023,H1B,Issued,27-Feb-2023
6311314070700032,Ahmedabad,02-Feb-2023,H1B,Application Received,27-Feb-2023
5348364820414464,Ahmedabad,02-Feb-2023,H1B,Application Received,27-Feb-2023
4859210273652736,Mumbai,01-Feb-2023,H1B,Approved,27-Feb-2023
6258233308086272,Hyderabad,31-Jan-2023,H1B,Issued,27-Feb-2023
6568541876649984,Chennai,31-Jan-2023,H1B,Application Received,27-Feb-2023
6284422005391360,New Delhi,29-Jan-2023,H1B,Issued,27-Feb-2023
